date,weight_count,weight_estimate,day_of_year,animal
2021-09-22,215,25.43,265,1
2021-09-22,54,27.13,265,2
2021-09-22,400,23.65,265,3
2021-09-22,117,26.75,265,4
2021-09-22,136,28.14,265,5
2021-09-22,69,26.6,265,6
2021-09-22,327,26.56,265,7
2021-09-22,33,31.84,265,8
2021-09-22,138,25.7,265,9
2021-09-22,48,29.51,265,10
2021-09-22,142,26.26,265,11
2021-09-22,98,25.12,265,12
2021-09-22,178,27.21,265,13
2021-09-22,309,27.09,265,14
2021-09-23,313,27.3,266,1
2021-09-23,216,26.7,266,2
2021-09-23,373,29.89,266,15
2021-09-23,380,30.91,266,3
2021-09-23,135,26.1,266,16
2021-09-23,296,25.87,266,4
2021-09-23,289,27.52,266,5
2021-09-23,152,26.27,266,6
2021-09-23,203,29.74,266,7
2021-09-23,381,25.89,266,8
2021-09-23,414,31.05,266,9
2021-09-23,306,31.07,266,10
2021-09-23,305,29.85,266,11
2021-09-23,302,27.85,266,12
2021-09-23,157,30.1,266,13
2021-09-23,296,28.48,266,14
2021-09-24,265,31.97,267,1
2021-09-24,149,32.52,267,17
2021-09-24,296,31.86,267,2
2021-09-24,196,33.36,267,15
2021-09-24,541,31.12,267,18
2021-09-24,523,30.98,267,3
2021-09-24,159,30.77,267,16
2021-09-24,602,32.56,267,4
2021-09-24,166,31.41,267,5
2021-09-24,173,33.05,267,6
2021-09-24,288,30.44,267,7
2021-09-24,368,30.96,267,8
2021-09-24,469,31.13,267,9
2021-09-24,200,30.84,267,10
2021-09-24,149,30.93,267,11
2021-09-24,588,31,267,12
2021-09-24,318,32.47,267,13
2021-09-24,392,31.8,267,14
2021-09-25,279,31.48,268,1
2021-09-25,224,30.27,268,17
2021-09-25,152,31.75,268,2
2021-09-25,130,32.88,268,15
2021-09-25,580,30.3,268,18
2021-09-25,543,33.13,268,3
2021-09-25,129,37.13,268,16
2021-09-25,192,34.5,268,4
2021-09-25,236,33.82,268,5
2021-09-25,135,33.92,268,6
2021-09-25,293,32.87,268,7
2021-09-25,377,31.83,268,8
2021-09-25,226,37.19,268,9
2021-09-25,227,30.98,268,10
2021-09-25,99,32.58,268,11
2021-09-25,202,30.6,268,12
2021-09-25,300,34.24,268,13
2021-09-25,412,33.1,268,14
2021-09-26,142,31.82,269,1
2021-09-26,268,32.15,269,17
2021-09-26,52,29.34,269,2
2021-09-26,213,35.24,269,15
2021-09-26,411,36.28,269,18
2021-09-26,400,33.73,269,3
2021-09-26,167,33.18,269,16
2021-09-26,279,36.24,269,4
2021-09-26,180,31.93,269,5
2021-09-26,223,32.04,269,6
2021-09-26,441,29.65,269,7
2021-09-26,157,31.37,269,8
2021-09-26,113,28.32,269,9
2021-09-26,214,33.26,269,10
2021-09-26,109,34.64,269,11
2021-09-26,270,35.51,269,12
2021-09-26,422,32.95,269,13
2021-09-26,362,33.87,269,14
2021-09-27,193,34.78,270,1
2021-09-27,342,34.06,270,17
2021-09-27,51,32.34,270,2
2021-09-27,192,31.33,270,15
2021-09-27,497,34.79,270,18
2021-09-27,358,33.04,270,3
2021-09-27,285,31.78,270,16
2021-09-27,301,35.2,270,4
2021-09-27,297,33.64,270,5
2021-09-27,172,35.43,270,6
2021-09-27,320,32.66,270,7
2021-09-27,305,34.13,270,8
2021-09-27,285,33.28,270,9
2021-09-27,177,31.08,270,10
2021-09-27,52,32.06,270,11
2021-09-27,446,35.61,270,12
2021-09-27,178,32.17,270,13
2021-09-27,263,35.99,270,14
2021-09-28,270,35.32,271,1
2021-09-28,161,35,271,17
2021-09-28,64,35.12,271,2
2021-09-28,346,36.5,271,15
2021-09-28,609,34.38,271,18
2021-09-28,403,34.34,271,3
2021-09-28,324,37.46,271,16
2021-09-28,210,38.41,271,4
2021-09-28,142,35.65,271,5
2021-09-28,177,35.1,271,6
2021-09-28,400,35.79,271,7
2021-09-28,579,35.17,271,8
2021-09-28,141,27.58,271,9
2021-09-28,127,36.74,271,10
2021-09-28,80,39.6,271,11
2021-09-28,156,37.28,271,12
2021-09-28,122,33.91,271,13
2021-09-28,369,33.98,271,14
2021-09-29,141,32.12,272,1
2021-09-29,141,35.53,272,17
2021-09-29,242,37.13,272,15
2021-09-29,632,37.65,272,18
2021-09-29,527,36.15,272,3
2021-09-29,286,36.84,272,16
2021-09-29,318,37.95,272,4
2021-09-29,303,33.58,272,5
2021-09-29,226,35.75,272,6
2021-09-29,378,36.1,272,7
2021-09-29,406,37.44,272,8
2021-09-29,120,28.77,272,9
2021-09-29,215,36.16,272,10
2021-09-29,136,36.04,272,11
2021-09-29,175,37.16,272,12
2021-09-29,245,37.73,272,13
2021-09-29,368,36.8,272,14
2021-09-30,133,37.21,273,1
2021-09-30,187,37.38,273,17
2021-09-30,239,38.06,273,15
2021-09-30,313,39.3,273,18
2021-09-30,385,34.65,273,3
2021-09-30,196,38.28,273,16
2021-09-30,288,37.47,273,4
2021-09-30,260,37.96,273,5
2021-09-30,170,36.6,273,6
2021-09-30,391,37.98,273,7
2021-09-30,307,36.43,273,8
2021-09-30,117,31.14,273,9
2021-09-30,216,35.01,273,10
2021-09-30,198,40.62,273,11
2021-09-30,240,38.79,273,12
2021-09-30,182,35.43,273,13
2021-09-30,446,38.75,273,14
2021-10-01,104,34.23,274,1
2021-10-01,100,38.71,274,17
2021-10-01,243,37.7,274,15
2021-10-01,385,41.91,274,18
2021-10-01,348,35.67,274,3
2021-10-01,90,33.51,274,16
2021-10-01,319,40.58,274,4
2021-10-01,252,37.27,274,5
2021-10-01,114,35.71,274,6
2021-10-01,249,37.12,274,7
2021-10-01,218,40.78,274,8
2021-10-01,72,34.11,274,9
2021-10-01,246,38.62,274,10
2021-10-01,81,43.31,274,11
2021-10-01,224,42.68,274,12
2021-10-01,212,34.97,274,13
2021-10-01,311,39.33,274,14
2021-10-02,148,35.96,275,1
2021-10-02,115,41.86,275,17
2021-10-02,35,39.81,275,2
2021-10-02,367,36.44,275,15
2021-10-02,600,42.84,275,18
2021-10-02,487,40.13,275,3
2021-10-02,59,38.08,275,16
2021-10-02,521,41.84,275,4
2021-10-02,286,38.6,275,5
2021-10-02,133,38.39,275,6
2021-10-02,293,37.6,275,7
2021-10-02,305,39.46,275,8
2021-10-02,119,36.17,275,9
2021-10-02,269,36.58,275,10
2021-10-02,237,44.92,275,11
2021-10-02,172,44.17,275,12
2021-10-02,302,36.81,275,13
2021-10-02,420,42.24,275,14
2021-10-03,203,37.48,276,1
2021-10-03,214,44.82,276,17
2021-10-03,430,38.7,276,2
2021-10-03,427,35.91,276,15
2021-10-03,862,43.94,276,18
2021-10-03,651,41.54,276,3
2021-10-03,218,38.6,276,16
2021-10-03,438,41.79,276,4
2021-10-03,307,38.93,276,5
2021-10-03,185,38.53,276,6
2021-10-03,371,38.91,276,7
2021-10-03,338,37.41,276,8
2021-10-03,183,41.74,276,9
2021-10-03,391,35.63,276,10
2021-10-03,372,42.32,276,11
2021-10-03,480,41.79,276,12
2021-10-03,327,42.19,276,13
2021-10-03,433,40.63,276,14
2021-10-04,236,37.57,277,1
2021-10-04,139,36.45,277,17
2021-10-04,405,39.42,277,2
2021-10-04,349,36.83,277,15
2021-10-04,835,46.05,277,18
2021-10-04,680,41.5,277,3
2021-10-04,280,40.95,277,16
2021-10-04,526,40.34,277,4
2021-10-04,230,39.43,277,5
2021-10-04,227,41.57,277,6
2021-10-04,511,39.96,277,7
2021-10-04,750,41.08,277,8
2021-10-04,194,40.82,277,9
2021-10-04,397,36.87,277,10
2021-10-04,601,42.79,277,11
2021-10-04,462,44.98,277,12
2021-10-04,577,39.43,277,13
2021-10-04,475,42.35,277,14
2021-10-05,338,39.29,278,1
2021-10-05,183,42.56,278,17
2021-10-05,753,41.72,278,2
2021-10-05,283,39.69,278,15
2021-10-05,766,41.71,278,18
2021-10-05,711,42.27,278,3
2021-10-05,246,40.57,278,16
2021-10-05,421,43.47,278,4
2021-10-05,118,43.44,278,5
2021-10-05,132,43.13,278,6
2021-10-05,366,40.62,278,7
2021-10-05,448,41.92,278,8
2021-10-05,152,44.27,278,9
2021-10-05,275,44,278,10
2021-10-05,302,44.45,278,11
2021-10-05,633,40.33,278,12
2021-10-05,503,41.84,278,13
2021-10-05,496,41.15,278,14
2021-10-06,285,41.54,279,1
2021-10-06,271,44.71,279,17
2021-10-06,577,42.33,279,2
2021-10-06,263,40.83,279,15
2021-10-06,609,45.81,279,18
2021-10-06,704,40.78,279,3
2021-10-06,143,40.97,279,16
2021-10-06,399,44.86,279,4
2021-10-06,363,39.82,279,5
2021-10-06,250,41.81,279,6
2021-10-06,634,42.01,279,7
2021-10-06,563,42.94,279,8
2021-10-06,277,35.42,279,9
2021-10-06,476,41.4,279,10
2021-10-06,370,42.94,279,11
2021-10-06,475,46.28,279,12
2021-10-06,348,40.55,279,13
2021-10-06,627,43.7,279,14
2021-10-07,277,42.5,280,1
2021-10-07,150,47.85,280,17
2021-10-07,605,42.72,280,2
2021-10-07,348,40.77,280,15
2021-10-07,353,46.1,280,18
2021-10-07,404,41.53,280,3
2021-10-07,131,40.73,280,16
2021-10-07,416,45.45,280,4
2021-10-07,187,38.83,280,5
2021-10-07,196,43.45,280,6
2021-10-07,323,42.28,280,7
2021-10-07,456,43.18,280,8
2021-10-07,398,38.95,280,9
2021-10-07,232,45.38,280,10
2021-10-07,265,48.2,280,11
2021-10-07,481,42.75,280,12
2021-10-07,424,45.35,280,13
2021-10-07,344,43.28,280,14
2021-10-08,189,43.26,281,1
2021-10-08,86,40.43,281,17
2021-10-08,260,41.31,281,2
2021-10-08,262,39.89,281,15
2021-10-08,292,47.7,281,18
2021-10-08,355,43.72,281,3
2021-10-08,120,39.62,281,16
2021-10-08,247,47.05,281,4
2021-10-08,200,43.41,281,5
2021-10-08,131,45.15,281,6
2021-10-08,250,42.31,281,7
2021-10-08,287,44.22,281,8
2021-10-08,130,35.63,281,9
2021-10-08,242,47.41,281,10
2021-10-08,339,46.24,281,11
2021-10-08,275,44.57,281,12
2021-10-08,264,41.96,281,13
2021-10-08,364,43.09,281,14
2021-10-09,78,47.86,282,1
2021-10-09,58,41.33,282,17
2021-10-09,238,42.75,282,2
2021-10-09,221,43.88,282,15
2021-10-09,258,46.79,282,18
2021-10-09,180,43.32,282,3
2021-10-09,62,43.19,282,16
2021-10-09,210,45.02,282,4
2021-10-09,206,37.42,282,5
2021-10-09,90,48.23,282,6
2021-10-09,115,44.55,282,7
2021-10-09,178,42.91,282,8
2021-10-09,95,45.26,282,9
2021-10-09,123,42.49,282,10
2021-10-09,226,48.06,282,11
2021-10-09,124,48.38,282,12
2021-10-09,169,44.14,282,13
2021-10-09,308,45.62,282,14
2021-10-10,90,41.41,283,1
2021-10-10,33,38.61,283,17
2021-10-10,412,43.14,283,2
